X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,color,Unique_M_GDQvsSaline
Far2,176.1029258,-0.192850354,0.088567181,-2.179323612,0.029307636,0.23825304,blue,Far2
Cdh24,185.6804324,-0.193134807,0.096875484,-2.00371912,0.045100157,0.286908635,blue,Cdh24
Arpc5,3091.776671,-0.193216559,0.062203629,-3.10605918,0.001895988,0.077234842,blue,Arpc5
Shisa9,582.6112718,-0.193252815,0.076448612,-2.528243834,0.011463471,0.161362598,blue,Shisa9
Avpr1b,4.548618922,-0.193255906,0.074321031,-2.398478087,0.016463362,NA,blue,Avpr1b
Sh3rf3,394.3171134,-0.193277958,0.075829587,-2.550348463,0.01076153,0.157205122,blue,Sh3rf3
Pls3,1981.768008,-0.193334792,0.083411782,-2.320267578,0.020326407,0.20433544,blue,Pls3
Syt3,718.7789184,-0.193351247,0.08426201,-2.297150444,0.021610189,0.208844175,blue,Syt3
Rtn4r,798.7983503,-0.193461406,0.096788107,-2.00765224,0.044680259,0.286246606,blue,Rtn4r
Sema4f,550.404864,-0.19346474,0.084498934,-2.290488904,0.021992991,0.209985802,blue,Sema4f
9330121K16Rik,175.6421254,-0.193501899,0.092793616,-2.074748306,0.038009868,0.268557943,blue,9330121K16Rik
Tmem161a,346.513156,-0.193674715,0.060963682,-3.176760662,0.001489299,0.0701282,blue,Tmem161a
Klhl4,310.0768486,-0.193727395,0.083731586,-2.311756752,0.020791092,0.206190704,blue,Klhl4
Napb,6131.674589,-0.193746253,0.074265145,-2.609376137,0.009070748,0.146441597,blue,Napb
Trim2,5071.749545,-0.193754862,0.068154105,-2.843250232,0.004465599,0.111613273,blue,Trim2
Fgf14,327.1628127,-0.193856327,0.080872925,-2.395924406,0.016578509,0.18764748,blue,Fgf14
Agfg1,1109.220414,-0.193965542,0.064573853,-3.004240024,0.002662452,0.091062974,blue,Agfg1
Tmem150cos,3.673175935,-0.194046908,0.070737454,-2.72430908,0.006443617,NA,blue,Tmem150cos
Clvs2,554.8454233,-0.19410619,0.087927046,-2.212152719,0.026956115,0.229726764,blue,Clvs2
Syn2,8122.269675,-0.194175084,0.066858294,-2.90428686,0.003680907,0.104211579,blue,Syn2
Gm9833,104.7104615,-0.194230296,0.081679121,-2.379549821,0.0173338,0.190030926,blue,Gm9833
Nlgn1,858.3430387,-0.19430255,0.084271756,-2.303553599,0.021247715,0.207431268,blue,Nlgn1
Fam171a2,1334.893373,-0.194508413,0.086276303,-2.25823249,0.023931169,0.218315784,blue,Fam171a2
Elovl4,623.6438842,-0.194532468,0.084417837,-2.305160189,0.021157604,0.207431268,blue,Elovl4
Fam84a,1193.399556,-0.194672167,0.083413056,-2.33938852,0.019315335,0.201189563,blue,Fam84a
Thnsl1,331.3587825,-0.194850926,0.069955208,-2.784168922,0.005366508,0.118898118,blue,Thnsl1
Dusp14,285.5054161,-0.194929104,0.094387095,-2.072721708,0.038198186,0.269097882,blue,Dusp14
Ears2,88.32715011,-0.194954071,0.089271552,-2.188635016,0.028623379,0.236587874,blue,Ears2
Cys1,213.5887393,-0.195028647,0.086629725,-2.257921886,0.02395053,0.218315784,blue,Cys1
Bcl11b,1933.771103,-0.19504855,0.073015981,-2.670544782,0.007572827,0.135639067,blue,Bcl11b
Zfp850,91.2676587,-0.195134057,0.095146661,-2.055973799,0.039785042,0.273682321,blue,Zfp850
Prkdc,366.9960695,-0.195285614,0.077630576,-2.513884054,0.011940968,0.164420227,blue,Prkdc
Gpr161,607.2124481,-0.195470169,0.081875479,-2.388003332,0.016940188,0.18864586,blue,Gpr161
Gm5605,5.474653627,-0.195607537,0.076479205,-2.473336717,0.013385796,NA,blue,Gm5605
Ppp4r4,602.4466771,-0.195738315,0.068475923,-2.858907839,0.004251023,0.10937639,blue,Ppp4r4
Mtfp1,1299.7596,-0.195995047,0.082286821,-2.383019704,0.017171275,0.18921337,blue,Mtfp1
S1pr4,11.10742934,-0.196001235,0.097874872,-1.976624503,0.04808409,0.295183872,blue,S1pr4
Gm30085,6.945355001,-0.196066537,0.089492862,-2.150267062,0.031534096,NA,blue,Gm30085
Dusp23,84.74065693,-0.196071686,0.093419047,-2.099850752,0.035741972,0.262867081,blue,Dusp23
Zfp747,89.17569586,-0.196203675,0.090685658,-2.165432708,0.030354563,0.24221139,blue,Zfp747
Plcl2,585.8887874,-0.196214162,0.081554233,-2.409117784,0.015991136,0.186258825,blue,Plcl2
Pcdhb4,54.37674113,-0.196300958,0.099425869,-1.986725617,0.046952811,0.292325677,blue,Pcdhb4
Myt1,160.1475523,-0.196338273,0.080977477,-2.424621656,0.015324348,0.183418794,blue,Myt1
Gpnmb,154.1646515,-0.196386299,0.088577292,-2.22875022,0.025830529,0.224908233,blue,Gpnmb
Ccdc28a,395.2823842,-0.196680235,0.060594645,-3.245926731,0.00117069,0.060135819,blue,Ccdc28a
