X,baseMean.x,log2FoldChange.x,lfcSE.x,stat.x,pvalue.x,padj.x,baseMean.y,log2FoldChange.y,lfcSE.y,stat.y,pvalue.y,padj.y
Cxcl12,897.1245463,-0.250901509,0.097510651,-2.58399351,0.009766363,0.223360112,897.1245463,0.187634599,0.095303202,1.983275061,0.047336714,0.237618375
Cyb561,812.0771149,0.637136037,0.153741605,4.118929571,3.81E-05,0.011897226,812.0771149,-0.31595808,0.150178813,-2.072881226,0.038183335,0.220189331
Cyp1b1,73.61776368,-0.765844793,0.172087349,-4.362502065,1.29E-05,0.006255019,73.61776368,0.420480035,0.166681187,2.31411524,0.020661402,0.176630771
Cyp4v3,165.9628624,-0.335083761,0.156938096,-2.12134651,0.033892653,0.365073463,165.9628624,0.387449636,0.15393181,2.487276492,0.012872531,0.150123085
D17H6S53E,139.2587295,0.358872611,0.156078208,2.221128847,0.026342236,0.330269719,139.2587295,-0.382594657,0.153648234,-2.407393775,0.016066836,0.16403972
Dab2ip,2882.094864,-0.338813895,0.168610804,-1.978110165,0.04791628,0.410850031,2882.094864,0.379058324,0.165241118,2.252145763,0.024313062,0.188458261
Dad1,1024.853648,0.202543803,0.072098295,2.806489151,0.00500846,0.171928172,1024.853648,-0.258783101,0.06981524,-3.70230744,0.000213648,0.029998144
Dcaf12l1,757.4751611,0.296798781,0.129964888,2.258608201,0.023907767,0.318341391,757.4751611,-0.298309052,0.126665768,-2.321788836,0.020244309,0.175745659
Dcn,765.885755,0.439012061,0.15409838,2.950567304,0.003171909,0.14057397,765.885755,-0.294249602,0.150125557,-2.052709215,0.040100788,0.22385684
Ddx60,17.44282467,-0.376095486,0.195786586,-1.980360882,0.047662992,0.409666555,17.44282467,0.39948558,0.194403085,2.327992127,0.019912522,NA
Dennd4b,1030.554175,-0.368906693,0.141852412,-2.574261439,0.010045434,0.226257198,1030.554175,0.377346334,0.138408444,2.687186538,0.00720567,0.126317707
Depp1,9.837437763,0.52598007,0.185413633,2.533534531,0.011291861,0.238372071,9.837437763,-0.528483421,0.186613844,-2.717215966,0.006583363,NA
Dhx37,257.276419,0.298174112,0.12844984,2.29042186,0.021996874,0.30882293,257.276419,-0.334945062,0.125457375,-2.634333404,0.008430266,0.130691289
